s_m,s_ft,z_m_navd88,z_ft_navd88
108.00,354.33,79.337,260.292
108.50,355.97,79.330,260.270
109.00,357.61,79.329,260.264
109.50,359.25,79.327,260.258
110.00,360.89,79.324,260.250
110.50,362.53,79.321,260.240
111.00,364.17,79.316,260.222
111.50,365.81,79.310,260.203
112.00,367.45,79.299,260.167
112.50,369.09,79.288,260.130
113.00,370.73,79.272,260.079
113.50,372.38,79.257,260.028
114.00,374.02,79.243,259.983
114.50,375.66,79.229,259.938
115.00,377.30,79.217,259.899
115.50,378.94,79.205,259.860
116.00,380.58,79.194,259.823
116.50,382.22,79.183,259.785
117.00,383.86,79.172,259.750
117.50,385.50,79.161,259.715
118.00,387.14,79.147,259.668
118.50,388.78,79.132,259.621
119.00,390.42,79.114,259.560
119.50,392.06,79.095,259.499
120.00,393.70,79.079,259.444
120.50,395.34,79.062,259.390
121.00,396.98,79.046,259.337
121.50,398.62,79.030,259.284
122.00,400.26,79.013,259.228
122.50,401.90,78.996,259.172
123.00,403.54,78.979,259.118
123.50,405.18,78.963,259.065
124.00,406.82,78.947,259.014
124.50,408.46,78.932,258.963
125.00,410.10,78.914,258.904
125.50,411.75,78.896,258.844
126.00,413.39,78.880,258.791
126.50,415.03,78.864,258.739
127.00,416.67,78.844,258.676
127.50,418.31,78.824,258.610
128.00,419.95,78.804,258.542
128.50,421.59,78.782,258.472
129.00,423.23,78.767,258.423
129.50,424.87,78.754,258.378
130.00,426.51,78.752,258.374
