id,ax_az,lat_offset,sfx,sfy,bearing_to_aud,ang_mismatch,lat_off_aud,front_row_dist,dist_to_aud,min_c_mm,min_c_row,all_c_pass,audience_face_az,bay_view_delta,bay_blocked,ada_swale,earthwork_delta_cy,notes
az155_lat-30,155.0,-30.0,19533123.520146698,750753.5731585004,153.89496154931288,1.1050384506871183,-0.8611432390178386,26.372933372369204,44.652683434427715,92.3,18,True,335,5.0,False,swale(advisory),54.4,C✓ min=92mm | axis≈aligned | bay✓ | swale(edge) | lat≈0
az155_lat-20,155.0,-20.0,19533114.457068827,750749.346975883,141.32663335884976,13.673366641150238,-10.861143239352822,29.208378040583945,45.946545057284546,102.3,18,True,335,5.0,False,swale(advisory),36.0,C✓ min=102mm | MISMATCH=+14° | bay✓ | swale(edge)
az155_lat-10,155.0,-10.0,19533105.393990956,750745.1207932655,129.95455351520184,25.045446484798163,-20.861143239737004,34.79550374502468,49.2778638692159,117.3,18,True,335,5.0,False,swale(advisory),18.1,C✓ min=117mm | MISMATCH=+25° | bay✓ | swale(edge)
az155_lat+0,155.0,0.0,19533096.330913085,750740.8946106482,120.34521118170022,34.65478881829978,-30.86114324007199,42.051454362436154,54.27274391761136,135.3,18,True,335,5.0,False,swale(advisory),10.7,C✓ min=135mm | MISMATCH=+35° | bay✓ | swale(edge)
az155_lat+10,155.0,10.0,19533087.267835215,750736.6684280308,112.53342881701842,42.46657118298157,-40.861143240406975,50.25855695436822,60.520687348985604,154.7,18,True,335,5.0,False,swale(advisory),28.2,C✓ min=155mm | MISMATCH=+42° | bay✓ | swale(edge)
az160_lat-30,160.0,-30.0,19533120.49178579,750749.4859732604,147.80071243670855,12.199287563291449,-8.992508413284094,24.900849752340157,42.55546800334039,87.8,18,False,340,10.0,False,none,52.5,C✗ min=88mm @row18 | MISMATCH=+12° | bay+10°(warn) | lat-9ft(minor) | R1-CLOSE(25ft)
az160_lat-20,160.0,-20.0,19533111.09485958,750746.0657718271,135.45803833395166,24.541961666048337,-18.992508414661266,30.13303136683624,45.725463642750064,104.0,18,True,340,10.0,False,swale(advisory),34.7,C✓ min=104mm | MISMATCH=+25° | bay+10°(warn) | swale(edge)
az160_lat-10,160.0,-10.0,19533101.697933376,750742.6455703939,125.12244614882859,34.8775538511714,-28.99250841253782,37.36237198186648,50.70175730141609,123.3,18,True,340,10.0,False,swale(advisory),17.9,C✓ min=123mm | MISMATCH=+35° | bay+10°(warn) | swale(edge)
az160_lat+0,160.0,0.0,19533092.301007167,750739.2253689606,116.84932423233373,43.15067576766626,-38.992508413915,45.64968894875014,57.01331740789157,144.0,18,True,340,10.0,False,swale(advisory),20.1,C✓ min=144mm | MISMATCH=+43° | bay+10°(warn) | swale(edge)
az160_lat+10,160.0,10.0,19533082.904080957,750735.8051675274,110.3311638888159,49.668836111184106,-48.99250841529217,54.514597698038706,64.26794325563384,164.8,18,True,340,10.0,False,swale(advisory),36.5,C✓ min=165mm | MISMATCH=+50° | bay+10°(warn) | swale(edge)
