threshold_deg,scale,comp_id,area_sqft,aspect_ratio,centroid_dist_ft,centroid_az_deg,bbox_h,bbox_w
25,1ft_raw,1520,20.0,4.0,125.6,111.9,12,3
25,1ft_raw,2682,20.0,1.8,125.0,167.3,5,9
25,1ft_raw,2684,20.0,2.2,129.5,160.2,5,11
30,1ft_raw,341,20.0,2.0,287.5,329.4,10,5
30,1ft_raw,598,20.0,1.33,389.1,279.3,6,8
30,3ft_smooth,36,20.0,3.33,393.0,187.4,3,10
30,5ft_smooth,8,20.0,3.67,462.7,240.4,3,11
25,1ft_raw,23,19.0,1.12,428.7,23.5,9,8
25,1ft_raw,158,19.0,2.5,428.3,318.6,4,10
25,1ft_raw,2193,19.0,1.67,132.1,138.2,6,10
30,1ft_raw,502,19.0,5.0,425.8,289.1,3,15
30,1ft_raw,1820,19.0,2.25,393.9,184.5,4,9
25,1ft_raw,2528,18.0,1.6,125.1,154.7,5,8
25,1ft_raw,2541,18.0,1.6,120.5,197.5,5,8
30,1ft_raw,177,18.0,1.57,370.9,20.4,7,11
25,1ft_raw,144,17.0,1.0,418.7,38.6,6,6
25,1ft_raw,380,17.0,1.8,217.8,355.0,9,5
25,1ft_raw,3157,17.0,2.33,381.3,173.1,3,7
25,3ft_smooth,18,17.0,2.33,304.1,80.8,3,7
30,1ft_raw,86,17.0,1.67,376.5,354.8,10,6
30,1ft_raw,157,17.0,1.33,356.1,351.3,8,6
30,1ft_raw,197,17.0,1.14,339.8,344.0,8,7
30,1ft_raw,1810,17.0,2.33,381.3,173.1,3,7
30,5ft_smooth,12,17.0,4.5,309.6,193.3,9,2
25,1ft_raw,420,16.0,1.2,440.0,298.2,5,6
25,1ft_raw,1016,16.0,3.33,124.5,73.2,10,3
25,1ft_raw,1177,16.0,3.33,106.4,86.7,10,3
25,1ft_raw,1493,16.0,1.8,127.6,109.1,9,5
25,1ft_raw,1624,16.0,1.29,151.9,114.0,9,7
25,1ft_raw,1689,16.0,2.25,141.7,119.2,9,4
25,1ft_raw,1975,16.0,3.33,89.0,165.8,3,10
25,1ft_raw,2307,16.0,1.5,115.0,206.2,6,9
25,1ft_raw,2498,16.0,1.6,112.4,184.5,5,8
25,1ft_raw,3083,16.0,1.6,243.5,193.6,5,8
25,3ft_smooth,12,16.0,2.33,233.8,0.3,7,3
25,1ft_raw,85,15.0,1.2,393.8,21.6,5,6
25,1ft_raw,1683,15.0,3.67,118.0,126.8,11,3
25,1ft_raw,1811,15.0,1.6,163.3,118.9,8,5
25,1ft_raw,2254,15.0,3.0,116.5,211.4,3,9
25,1ft_raw,2483,15.0,4.5,115.4,162.6,2,9
25,1ft_raw,2525,15.0,3.0,112.5,178.4,3,9
25,1ft_raw,2821,15.0,2.67,134.2,162.2,3,8
25,1ft_raw,3158,15.0,2.0,556.8,226.5,4,8
30,1ft_raw,130,15.0,1.17,366.4,352.5,7,6
30,1ft_raw,793,15.0,1.4,235.5,86.9,7,5
25,1ft_raw,531,14.0,2.0,112.6,5.2,4,8
25,1ft_raw,1126,14.0,1.8,97.6,81.8,9,5
25,1ft_raw,1248,14.0,2.67,144.0,91.7,8,3
25,1ft_raw,1347,14.0,3.0,118.2,100.2,9,3
