threshold_deg,scale,comp_id,area_sqft,aspect_ratio,centroid_dist_ft,centroid_az_deg,bbox_h,bbox_w
25,1ft_raw,1734,4.0,1.5,355.3,258.4,3,2
25,1ft_raw,1743,4.0,1.5,124.2,125.0,3,2
25,1ft_raw,1755,4.0,1.5,127.3,124.6,3,2
25,1ft_raw,1771,4.0,1.5,75.1,170.4,2,3
25,1ft_raw,1775,4.0,1.5,98.9,138.9,3,2
25,1ft_raw,1779,4.0,1.5,113.8,130.9,3,2
25,1ft_raw,1806,4.0,1.5,107.2,135.6,3,2
25,1ft_raw,1851,4.0,1.5,149.5,121.7,3,2
25,1ft_raw,1855,4.0,1.0,92.5,211.3,2,2
25,1ft_raw,1874,4.0,1.5,114.2,134.8,3,2
25,1ft_raw,1894,4.0,1.5,157.7,121.1,3,2
25,1ft_raw,1895,4.0,1.5,167.1,119.3,3,2
25,1ft_raw,1936,4.0,1.5,152.0,123.3,3,2
25,1ft_raw,1941,4.0,1.5,97.0,210.0,2,3
25,1ft_raw,1958,4.0,1.5,86.9,170.1,3,2
25,1ft_raw,1962,4.0,1.5,109.3,141.5,3,2
25,1ft_raw,1981,4.0,1.5,123.4,134.5,3,2
25,1ft_raw,2035,4.0,1.5,138.8,130.2,3,2
25,1ft_raw,2038,4.0,1.5,155.4,125.2,3,2
25,1ft_raw,2057,4.0,1.5,144.8,128.7,3,2
25,1ft_raw,2125,4.0,1.5,124.4,138.8,3,2
25,1ft_raw,2128,4.0,1.5,136.2,133.4,3,2
25,1ft_raw,2138,4.0,1.5,95.0,185.6,3,2
25,1ft_raw,2170,4.0,1.5,146.5,130.7,3,2
25,1ft_raw,2195,4.0,1.5,149.4,130.3,3,2
25,1ft_raw,2201,4.0,1.0,174.8,123.3,2,2
25,1ft_raw,2221,4.0,1.5,152.3,129.8,3,2
25,1ft_raw,2243,4.0,1.5,155.4,129.1,2,3
25,1ft_raw,2261,4.0,1.0,99.9,172.5,2,2
25,1ft_raw,2270,4.0,1.5,173.5,124.8,2,3
25,1ft_raw,2278,4.0,1.5,100.3,179.1,2,3
25,1ft_raw,2285,4.0,1.5,125.9,142.6,2,3
25,1ft_raw,2288,4.0,1.0,179.5,123.9,2,2
25,1ft_raw,2299,4.0,1.5,116.5,150.4,2,3
25,1ft_raw,2335,4.0,1.5,104.9,170.7,3,2
25,1ft_raw,2367,4.0,1.5,143.3,136.9,3,2
25,1ft_raw,2388,4.0,1.5,120.7,150.5,2,3
25,1ft_raw,2392,4.0,1.5,139.4,139.2,3,2
25,1ft_raw,2402,4.0,1.5,120.8,208.8,2,3
25,1ft_raw,2440,4.0,1.0,109.1,187.9,2,2
25,1ft_raw,2472,4.0,1.5,129.8,211.6,3,2
25,1ft_raw,2476,4.0,1.5,117.6,200.7,2,3
25,1ft_raw,2507,4.0,1.5,143.6,140.8,2,3
25,1ft_raw,2508,4.0,1.5,146.4,139.2,2,3
25,1ft_raw,2531,4.0,1.5,132.4,147.8,2,3
25,1ft_raw,2555,4.0,1.5,137.3,213.9,2,3
25,1ft_raw,2566,4.0,1.5,124.5,156.9,3,2
25,1ft_raw,2567,4.0,1.5,132.9,149.3,2,3
25,1ft_raw,2583,4.0,1.5,117.4,192.2,2,3
25,1ft_raw,2618,4.0,1.5,128.9,204.5,2,3
25,1ft_raw,2657,4.0,1.0,126.2,199.4,2,2
25,1ft_raw,2670,4.0,1.5,435.0,253.9,3,2
25,1ft_raw,2672,4.0,1.0,145.4,214.3,2,2
25,1ft_raw,2673,4.0,1.0,142.1,212.3,2,2
25,1ft_raw,2696,4.0,1.5,122.0,186.4,2,3
25,1ft_raw,2703,4.0,1.5,173.6,134.4,3,2
25,1ft_raw,2713,4.0,1.5,122.8,183.7,3,2
25,1ft_raw,2733,4.0,1.5,131.5,200.0,3,2
25,1ft_raw,2739,4.0,1.5,127.0,165.6,2,3
25,1ft_raw,2762,4.0,1.5,125.2,173.2,2,3
25,1ft_raw,2790,4.0,1.0,147.9,147.7,2,2
25,1ft_raw,2807,4.0,1.5,449.9,253.6,2,3
25,1ft_raw,2849,4.0,1.0,132.7,166.5,2,2
25,1ft_raw,2887,4.0,1.5,133.9,190.8,3,2
25,1ft_raw,2913,4.0,1.5,134.6,187.9,2,3
25,1ft_raw,2941,4.0,1.5,142.5,198.3,2,3
25,1ft_raw,2990,4.0,1.5,157.1,151.9,3,2
25,1ft_raw,3036,4.0,1.0,160.1,153.3,2,2
25,1ft_raw,3037,4.0,1.5,162.2,151.9,2,3
25,1ft_raw,3041,4.0,1.5,166.8,149.6,2,3
25,1ft_raw,3066,4.0,1.5,493.3,241.9,3,2
25,1ft_raw,3071,4.0,1.5,506.0,242.6,2,3
25,1ft_raw,3073,4.0,1.5,499.1,242.2,2,3
25,1ft_raw,3110,4.0,1.5,388.9,227.9,3,2
25,1ft_raw,3117,4.0,1.5,287.8,195.3,3,2
25,1ft_raw,3153,4.0,1.5,376.1,181.3,2,3
25,1ft_raw,3173,4.0,1.5,394.1,176.3,2,3
30,1ft_raw,7,4.0,1.5,401.6,5.2,2,3
30,1ft_raw,13,4.0,1.5,436.9,23.9,3,2
30,1ft_raw,23,4.0,1.5,396.2,356.5,3,2
30,1ft_raw,64,4.0,1.5,413.3,22.1,2,3
30,1ft_raw,80,4.0,1.5,380.1,356.5,3,2
30,1ft_raw,81,4.0,1.5,379.6,358.2,3,2
30,1ft_raw,127,4.0,1.5,368.0,354.7,3,2
30,1ft_raw,137,4.0,1.5,367.0,352.0,3,2
30,1ft_raw,146,4.0,1.5,363.8,354.2,2,3
30,1ft_raw,198,4.0,1.5,334.8,348.8,3,2
30,1ft_raw,275,4.0,1.5,319.8,335.9,2,3
30,1ft_raw,322,4.0,1.5,301.2,328.9,2,3
30,1ft_raw,343,4.0,1.5,302.2,325.3,3,2
30,1ft_raw,364,4.0,1.5,295.6,324.4,3,2
30,1ft_raw,376,4.0,1.5,294.9,323.1,3,2
30,1ft_raw,393,4.0,1.5,289.1,322.9,3,2
30,1ft_raw,412,4.0,1.5,265.1,327.9,3,2
30,1ft_raw,423,4.0,1.0,358.6,307.6,2,2
30,1ft_raw,426,4.0,1.0,328.6,311.8,2,2
30,1ft_raw,435,4.0,1.5,266.1,324.7,2,3
30,1ft_raw,452,4.0,1.5,439.0,298.9,2,3
30,1ft_raw,543,4.0,1.5,111.5,346.5,3,2
30,1ft_raw,597,4.0,1.5,352.3,281.3,2,3
30,1ft_raw,680,4.0,1.0,364.8,277.1,2,2
30,1ft_raw,683,4.0,1.0,421.3,276.0,2,2
30,1ft_raw,690,4.0,1.5,152.0,73.8,3,2
30,1ft_raw,699,4.0,1.5,123.8,70.9,3,2
30,1ft_raw,701,4.0,4.0,454.2,274.9,4,1
30,1ft_raw,710,4.0,1.5,421.2,275.2,2,3
30,1ft_raw,719,4.0,1.5,127.0,73.8,3,2
30,1ft_raw,726,4.0,1.5,127.0,75.2,3,2
30,1ft_raw,775,4.0,1.5,121.3,81.7,3,2
30,1ft_raw,803,4.0,1.5,137.2,85.2,3,2
30,1ft_raw,807,4.0,1.0,140.4,85.5,2,2
30,1ft_raw,821,4.0,1.0,136.2,87.1,2,2
30,1ft_raw,828,4.0,1.0,142.1,88.0,2,2
30,1ft_raw,838,4.0,1.0,137.0,89.6,2,2
30,1ft_raw,985,4.0,1.5,124.8,107.5,3,2
30,1ft_raw,1010,4.0,1.5,151.4,106.7,3,2
30,1ft_raw,1025,4.0,1.5,113.0,115.5,3,2
30,1ft_raw,1042,4.0,1.5,131.3,113.7,3,2
30,1ft_raw,1056,4.0,1.5,109.7,120.3,3,2
30,1ft_raw,1068,4.0,1.5,149.5,112.6,3,2
30,1ft_raw,1073,4.0,1.5,152.7,112.6,3,2
30,1ft_raw,1151,4.0,1.5,116.9,129.6,3,2
30,1ft_raw,1217,4.0,1.5,100.2,147.0,2,3
30,1ft_raw,1243,4.0,1.5,88.5,184.0,2,3
30,1ft_raw,1441,4.0,1.5,107.0,183.5,2,3
30,1ft_raw,1476,4.0,1.5,112.3,192.1,2,3
30,1ft_raw,1505,4.0,1.5,112.5,174.6,2,3
30,1ft_raw,1506,4.0,1.5,113.0,172.6,2,3
30,1ft_raw,1519,4.0,1.5,125.6,153.9,2,3
30,1ft_raw,1627,4.0,1.0,125.4,169.0,2,2
30,1ft_raw,1751,4.0,1.0,242.1,192.9,2,2
30,1ft_raw,1783,4.0,1.0,457.3,137.5,2,2
30,1ft_raw,1807,4.0,1.5,376.1,181.3,2,3
30,3ft_smooth,17,4.0,1.5,397.2,278.6,2,3
30,3ft_smooth,20,4.0,1.0,425.5,276.2,2,2
30,3ft_smooth,25,4.0,4.0,352.7,133.2,1,4
30,5ft_smooth,10,4.0,4.0,450.0,239.3,1,4
