profile,station_ft,elev_ft,slope_deg
S  (az 180),0.0,610.048,0.98
S  (az 180),1.0,610.065,0.98
S  (az 180),2.0,610.081,0.96
S  (az 180),3.0,610.103,1.24
S  (az 180),4.0,610.109,0.31
S  (az 180),5.0,610.1,0.51
S  (az 180),6.0,610.064,2.03
S  (az 180),7.0,610.023,2.35
S  (az 180),8.0,609.985,2.21
S  (az 180),9.0,609.955,1.71
S  (az 180),10.0,609.945,0.59
S  (az 180),11.0,609.939,0.33
S  (az 180),12.0,609.94,0.05
S  (az 180),13.0,609.913,1.53
S  (az 180),14.0,609.865,2.75
S  (az 180),15.0,609.84,1.45
S  (az 180),16.0,609.825,0.85
S  (az 180),17.0,609.805,1.14
S  (az 180),18.0,609.78,1.42
S  (az 180),19.0,609.808,1.6
S  (az 180),20.0,609.851,2.45
S  (az 180),21.0,609.854,0.19
S  (az 180),22.0,609.861,0.36
S  (az 180),23.0,609.874,0.76
S  (az 180),24.0,609.879,0.26
S  (az 180),25.0,609.901,1.29
S  (az 180),26.0,609.932,1.79
S  (az 180),27.0,609.916,0.94
S  (az 180),28.0,609.898,1.04
S  (az 180),29.0,609.909,0.67
S  (az 180),30.0,609.94,1.79
S  (az 180),31.0,609.951,0.6
S  (az 180),32.0,609.938,0.74
S  (az 180),33.0,609.944,0.36
S  (az 180),34.0,609.962,1.01
S  (az 180),35.0,609.968,0.33
S  (az 180),36.0,609.956,0.64
S  (az 180),37.0,609.958,0.07
S  (az 180),38.0,609.962,0.23
S  (az 180),39.0,609.941,1.2
S  (az 180),40.0,609.918,1.32
S  (az 180),41.0,609.908,0.56
S  (az 180),42.0,609.946,2.2
S  (az 180),43.0,609.952,0.31
S  (az 180),44.0,609.887,3.73
S  (az 180),45.0,609.886,0.05
S  (az 180),46.0,609.915,1.7
S  (az 180),47.0,609.925,0.56
S  (az 180),48.0,609.929,0.2
S  (az 180),49.0,609.925,0.22
S  (az 180),50.0,609.921,0.21
S  (az 180),51.0,609.91,0.62
S  (az 180),52.0,609.91,0.04
S  (az 180),53.0,609.919,0.51
S  (az 180),54.0,609.927,0.49
S  (az 180),55.0,609.962,2.01
S  (az 180),56.0,609.998,2.02
S  (az 180),57.0,609.992,0.34
S  (az 180),58.0,609.984,0.43
S  (az 180),59.0,610.005,1.17
S  (az 180),60.0,610.128,7.01
S  (az 180),61.0,610.343,12.15
S  (az 180),62.0,610.507,9.33
S  (az 180),63.0,610.655,8.4
S  (az 180),64.0,610.773,6.74
S  (az 180),65.0,610.916,8.11
S  (az 180),66.0,611.212,16.53
S  (az 180),67.0,611.447,13.2
S  (az 180),68.0,611.645,11.22
S  (az 180),69.0,611.94,16.41
S  (az 180),70.0,612.253,17.39
S  (az 180),71.0,612.51,14.42
S  (az 180),72.0,612.804,16.39
S  (az 180),73.0,613.156,19.4
S  (az 180),74.0,613.375,12.33
S  (az 180),75.0,613.718,18.93
S  (az 180),76.0,614.036,17.65
S  (az 180),77.0,614.309,15.26
S  (az 180),78.0,614.656,19.12
S  (az 180),79.0,615.058,21.9
S  (az 180),80.0,615.429,20.39
S  (az 180),81.0,615.684,14.31
S  (az 180),82.0,615.951,14.95
S  (az 180),83.0,616.244,16.29
S  (az 180),84.0,616.506,14.7
S  (az 180),85.0,616.918,22.37
S  (az 180),86.0,617.336,22.7
S  (az 180),87.0,617.555,12.33
S  (az 180),88.0,617.927,20.44
S  (az 180),89.0,618.359,23.36
S  (az 180),90.0,618.642,15.78
S  (az 180),91.0,619.064,22.87
S  (az 180),92.0,619.44,20.63
S  (az 180),93.0,619.668,12.87
S  (az 180),94.0,620.104,23.56
S  (az 180),95.0,620.637,28.04
S  (az 180),96.0,620.904,14.92
S  (az 180),97.0,621.219,17.48
S  (az 180),98.0,621.596,20.7
S  (az 180),99.0,622.053,24.57
S  (az 180),100.0,622.37,17.58
S  (az 180),101.0,622.781,22.35
S  (az 180),102.0,623.267,25.92
S  (az 180),103.0,623.59,17.88
S  (az 180),104.0,624.017,23.12
S  (az 180),105.0,624.414,21.68
S  (az 180),106.0,624.661,13.87
S  (az 180),107.0,625.102,23.79
S  (az 180),108.0,625.603,26.62
S  (az 180),109.0,625.95,19.12
S  (az 180),110.0,626.339,21.25
S  (az 180),111.0,626.626,16.03
S  (az 180),112.0,626.979,19.43
S  (az 180),113.0,627.552,29.81
S  (az 180),114.0,628.041,26.03
S  (az 180),115.0,628.324,15.84
S  (az 180),116.0,628.485,9.12
S  (az 180),117.0,628.895,22.3
S  (az 180),118.0,629.525,32.21
S  (az 180),119.0,629.923,21.71
S  (az 180),120.0,630.247,17.95
S  (az 180),121.0,630.594,19.15
S  (az 180),122.0,630.896,16.77
S  (az 180),123.0,631.327,23.34
S  (az 180),124.0,631.741,22.48
S  (az 180),125.0,632.091,19.3
S  (az 180),126.0,632.545,24.39
S  (az 180),127.0,632.847,16.81
S  (az 180),128.0,633.1,14.25
S  (az 180),129.0,633.516,22.59
S  (az 180),130.0,633.928,22.37
S  (az 180),131.0,634.319,21.35
S  (az 180),132.0,634.71,21.35
S  (az 180),133.0,634.914,11.52
S  (az 180),134.0,635.19,15.43
S  (az 180),135.0,635.579,21.28
S  (az 180),136.0,636.001,22.89
S  (az 180),137.0,636.342,18.82
S  (az 180),138.0,636.69,19.17
S  (az 180),139.0,636.926,13.29
S  (az 180),140.0,637.229,16.85
S  (az 180),141.0,637.509,15.68
S  (az 180),142.0,637.791,15.73
S  (az 180),143.0,638.047,14.36
S  (az 180),144.0,638.352,16.95
S  (az 180),145.0,638.516,9.32
S  (az 180),146.0,638.664,8.42
S  (az 180),147.0,638.827,9.25
S  (az 180),148.0,638.981,8.76
S  (az 180),149.0,639.072,5.23
S  (az 180),150.0,639.115,2.42
S  (az 180),151.0,639.221,6.1
S  (az 180),152.0,639.306,4.81
S  (az 180),153.0,639.356,2.9
S  (az 180),154.0,639.484,7.3
S  (az 180),155.0,639.592,6.11
S  (az 180),156.0,639.618,1.49
S  (az 180),157.0,639.626,0.5
S  (az 180),158.0,639.605,1.25
S  (az 180),159.0,639.597,0.42
S  (az 180),160.0,639.575,1.26
S  (az 180),161.0,639.564,0.67
S  (az 180),162.0,639.589,1.47
S  (az 180),163.0,639.572,1.01
S  (az 180),164.0,639.526,2.62
S  (az 180),165.0,639.509,0.99
S  (az 180),166.0,639.481,1.6
S  (az 180),167.0,639.436,2.58
S  (az 180),168.0,639.378,3.3
S  (az 180),169.0,639.263,6.58
S  (az 180),170.0,639.221,2.36
S  (az 180),171.0,639.308,4.95
S  (az 180),172.0,639.375,3.85
S  (az 180),173.0,639.44,3.71
S  (az 180),174.0,639.487,2.68
S  (az 180),175.0,639.519,1.8
S  (az 180),176.0,639.533,0.82
S  (az 180),177.0,639.555,1.26
S  (az 180),178.0,639.596,2.39
S  (az 180),179.0,639.62,1.37
S  (az 180),180.0,639.634,0.8
S  (az 180),181.0,639.672,2.18
S  (az 180),182.0,639.707,1.96
S  (az 180),183.0,639.729,1.28
S  (az 180),184.0,639.76,1.76
S  (az 180),185.0,639.784,1.4
S  (az 180),186.0,639.822,2.16
S  (az 180),187.0,639.877,3.12
S  (az 180),188.0,639.923,2.65
S  (az 180),189.0,639.958,2.03
S  (az 180),190.0,640.001,2.42
S  (az 180),191.0,640.045,2.54
S  (az 180),192.0,640.113,3.9
S  (az 180),193.0,640.196,4.77
S  (az 180),194.0,640.221,1.38
S  (az 180),195.0,640.257,2.11
S  (az 180),196.0,640.285,1.57
S  (az 180),197.0,640.285,0.02
S  (az 180),198.0,640.282,0.19
S  (az 180),199.0,640.347,3.7
S  (az 180),200.0,640.442,5.45
SE (az 135),0.0,610.048,0.72
SE (az 135),1.0,610.06,0.72
SE (az 135),2.0,610.083,1.32
SE (az 135),3.0,610.089,0.32
SE (az 135),4.0,610.085,0.25
SE (az 135),5.0,610.078,0.35
SE (az 135),6.0,610.077,0.1
SE (az 135),7.0,610.045,1.81
SE (az 135),8.0,610.011,1.93
SE (az 135),9.0,609.99,1.23
SE (az 135),10.0,609.937,3.01
SE (az 135),11.0,609.913,1.42
SE (az 135),12.0,609.859,3.04
SE (az 135),13.0,609.859,0.05
SE (az 135),14.0,609.851,0.41
SE (az 135),15.0,609.863,0.65
SE (az 135),16.0,609.845,1.03
SE (az 135),17.0,609.829,0.87
SE (az 135),18.0,609.841,0.67
SE (az 135),19.0,609.846,0.27
SE (az 135),20.0,609.811,2.03
SE (az 135),21.0,609.827,0.96
SE (az 135),22.0,609.847,1.11
SE (az 135),23.0,609.901,3.1
SE (az 135),24.0,609.922,1.22
SE (az 135),25.0,609.921,0.06
SE (az 135),26.0,609.909,0.7
SE (az 135),27.0,609.906,0.19
SE (az 135),28.0,609.9,0.3
SE (az 135),29.0,609.91,0.55
SE (az 135),30.0,609.933,1.32
SE (az 135),31.0,609.943,0.57
SE (az 135),32.0,609.959,0.9
SE (az 135),33.0,610.005,2.68
SE (az 135),34.0,610.001,0.23
SE (az 135),35.0,609.996,0.3
SE (az 135),36.0,609.992,0.27
SE (az 135),37.0,609.941,2.88
SE (az 135),38.0,609.933,0.45
SE (az 135),39.0,609.934,0.01
SE (az 135),40.0,609.879,3.14
SE (az 135),41.0,609.833,2.65
SE (az 135),42.0,609.796,2.07
SE (az 135),43.0,609.785,0.65
SE (az 135),44.0,609.779,0.32
SE (az 135),45.0,609.766,0.75
SE (az 135),46.0,609.775,0.52
SE (az 135),47.0,609.66,6.57
SE (az 135),48.0,609.632,1.62
SE (az 135),49.0,609.62,0.65
SE (az 135),50.0,609.636,0.87
SE (az 135),51.0,609.629,0.37
SE (az 135),52.0,609.63,0.06
SE (az 135),53.0,609.607,1.35
SE (az 135),54.0,609.596,0.6
SE (az 135),55.0,609.585,0.67
SE (az 135),56.0,609.529,3.16
SE (az 135),57.0,609.515,0.84
SE (az 135),58.0,609.495,1.14
SE (az 135),59.0,609.486,0.48
SE (az 135),60.0,609.447,2.29
SE (az 135),61.0,609.431,0.87
SE (az 135),62.0,609.438,0.39
SE (az 135),63.0,609.445,0.37
SE (az 135),64.0,609.45,0.29
SE (az 135),65.0,609.431,1.09
SE (az 135),66.0,609.389,2.38
SE (az 135),67.0,609.423,1.95
SE (az 135),68.0,609.426,0.14
SE (az 135),69.0,609.437,0.64
SE (az 135),70.0,609.486,2.83
SE (az 135),71.0,609.501,0.82
SE (az 135),72.0,609.517,0.91
SE (az 135),73.0,609.552,2.01
SE (az 135),74.0,609.646,5.42
SE (az 135),75.0,609.692,2.61
SE (az 135),76.0,609.761,3.92
SE (az 135),77.0,609.875,6.52
SE (az 135),78.0,610.018,8.15
SE (az 135),79.0,610.135,6.67
SE (az 135),80.0,610.215,4.56
SE (az 135),81.0,610.379,9.33
SE (az 135),82.0,610.54,9.11
SE (az 135),83.0,610.637,5.58
SE (az 135),84.0,610.925,16.07
SE (az 135),85.0,611.008,4.74
SE (az 135),86.0,611.176,9.53
SE (az 135),87.0,611.408,13.06
SE (az 135),88.0,611.636,12.85
SE (az 135),89.0,611.968,18.38
SE (az 135),90.0,612.142,9.86
SE (az 135),91.0,612.363,12.47
SE (az 135),92.0,612.639,15.41
SE (az 135),93.0,612.795,8.89
SE (az 135),94.0,613.156,19.82
SE (az 135),95.0,613.492,18.57
SE (az 135),96.0,613.731,13.48
SE (az 135),97.0,613.936,11.56
SE (az 135),98.0,614.508,29.76
SE (az 135),99.0,614.817,17.18
SE (az 135),100.0,614.991,9.84
SE (az 135),101.0,615.337,19.11
SE (az 135),102.0,615.825,25.99
SE (az 135),103.0,616.07,13.81
SE (az 135),104.0,616.366,16.47
SE (az 135),105.0,616.661,16.42
SE (az 135),106.0,617.02,19.75
SE (az 135),107.0,617.646,32.07
SE (az 135),108.0,617.761,6.52
SE (az 135),109.0,617.95,10.72
SE (az 135),110.0,618.334,21.0
SE (az 135),111.0,618.745,22.35
SE (az 135),112.0,619.21,24.92
SE (az 135),113.0,619.44,12.97
SE (az 135),114.0,619.546,6.03
SE (az 135),115.0,620.373,39.6
SE (az 135),116.0,620.616,13.65
SE (az 135),117.0,620.801,10.48
SE (az 135),118.0,621.165,20.04
SE (az 135),119.0,621.448,15.77
SE (az 135),120.0,621.835,21.19
SE (az 135),121.0,622.307,25.23
SE (az 135),122.0,622.324,1.0
SE (az 135),123.0,622.717,21.46
SE (az 135),124.0,623.336,31.74
SE (az 135),125.0,623.557,12.5
SE (az 135),126.0,623.883,18.02
SE (az 135),127.0,624.113,12.98
SE (az 135),128.0,625.071,43.77
SE (az 135),129.0,625.067,0.27
SE (az 135),130.0,625.329,14.69
SE (az 135),131.0,625.856,27.81
SE (az 135),132.0,626.013,8.92
SE (az 135),133.0,626.386,20.46
SE (az 135),134.0,626.691,16.95
SE (az 135),135.0,626.987,16.49
SE (az 135),136.0,627.455,25.05
SE (az 135),137.0,627.681,12.77
SE (az 135),138.0,627.8,6.8
SE (az 135),139.0,628.605,38.84
SE (az 135),140.0,628.867,14.68
SE (az 135),141.0,628.957,5.09
SE (az 135),142.0,629.431,25.39
SE (az 135),143.0,629.787,19.56
SE (az 135),144.0,630.084,16.56
SE (az 135),145.0,630.474,21.32
SE (az 135),146.0,630.768,16.4
SE (az 135),147.0,631.02,14.14
SE (az 135),148.0,631.206,10.54
SE (az 135),149.0,631.625,22.73
SE (az 135),150.0,632.091,24.99
SE (az 135),151.0,632.349,14.47
SE (az 135),152.0,632.662,17.35
SE (az 135),153.0,633.013,19.34
SE (az 135),154.0,633.313,16.7
SE (az 135),155.0,633.468,8.82
SE (az 135),156.0,633.793,18.02
SE (az 135),157.0,634.109,17.53
SE (az 135),158.0,634.378,15.02
SE (az 135),159.0,634.821,23.93
SE (az 135),160.0,635.002,10.21
SE (az 135),161.0,635.225,12.61
SE (az 135),162.0,635.982,37.1
SE (az 135),163.0,635.985,0.18
SE (az 135),164.0,636.215,12.96
SE (az 135),165.0,636.497,15.77
SE (az 135),166.0,636.734,13.33
SE (az 135),167.0,636.881,8.33
SE (az 135),168.0,637.151,15.12
SE (az 135),169.0,637.678,27.81
SE (az 135),170.0,637.733,3.11
SE (az 135),171.0,638.026,16.34
SE (az 135),172.0,638.323,16.54
SE (az 135),173.0,638.376,3.02
SE (az 135),174.0,638.774,21.7
SE (az 135),175.0,639.011,13.36
SE (az 135),176.0,639.362,19.37
SE (az 135),177.0,639.63,14.96
SE (az 135),178.0,639.841,11.91
SE (az 135),179.0,639.953,6.43
SE (az 135),180.0,640.46,26.89
SE (az 135),181.0,640.644,10.41
SE (az 135),182.0,640.869,12.66
SE (az 135),183.0,641.014,8.29
SE (az 135),184.0,641.249,13.21
SE (az 135),185.0,641.429,10.2
SE (az 135),186.0,641.468,2.23
SE (az 135),187.0,641.96,26.18
SE (az 135),188.0,642.221,14.63
SE (az 135),189.0,642.34,6.78
SE (az 135),190.0,642.773,23.45
SE (az 135),191.0,642.917,8.17
SE (az 135),192.0,643.076,9.06
SE (az 135),193.0,643.564,26.0
SE (az 135),194.0,643.606,2.41
SE (az 135),195.0,643.779,9.81
SE (az 135),196.0,644.281,26.66
SE (az 135),197.0,644.284,0.16
SE (az 135),198.0,644.583,16.68
SE (az 135),199.0,644.824,13.55
SE (az 135),200.0,644.876,2.96
E  (az  90),0.0,610.048,0.45
E  (az  90),1.0,610.04,0.45
E  (az  90),2.0,610.041,0.07
E  (az  90),3.0,610.035,0.32
E  (az  90),4.0,610.011,1.39
E  (az  90),5.0,609.994,0.99
E  (az  90),6.0,610.002,0.48
E  (az  90),7.0,609.994,0.5
E  (az  90),8.0,609.975,1.08
E  (az  90),9.0,609.968,0.4
E  (az  90),10.0,609.964,0.23
E  (az  90),11.0,609.952,0.65
E  (az  90),12.0,609.923,1.67
E  (az  90),13.0,609.872,2.91
E  (az  90),14.0,609.832,2.33
E  (az  90),15.0,609.819,0.73
E  (az  90),16.0,609.81,0.53
E  (az  90),17.0,609.799,0.63
E  (az  90),18.0,609.801,0.1
E  (az  90),19.0,609.804,0.21
E  (az  90),20.0,609.794,0.6
E  (az  90),21.0,609.785,0.52
E  (az  90),22.0,609.778,0.4
E  (az  90),23.0,609.789,0.64
E  (az  90),24.0,609.785,0.24
E  (az  90),25.0,609.743,2.41
E  (az  90),26.0,609.72,1.29
E  (az  90),27.0,609.746,1.49
E  (az  90),28.0,609.783,2.12
E  (az  90),29.0,609.8,0.95
E  (az  90),30.0,609.806,0.35
E  (az  90),31.0,609.773,1.88
E  (az  90),32.0,609.741,1.83
E  (az  90),33.0,609.752,0.61
E  (az  90),34.0,609.769,1.0
E  (az  90),35.0,609.753,0.93
E  (az  90),36.0,609.736,0.96
E  (az  90),37.0,609.744,0.42
E  (az  90),38.0,609.758,0.85
E  (az  90),39.0,609.782,1.33
E  (az  90),40.0,609.813,1.79
E  (az  90),41.0,609.828,0.87
E  (az  90),42.0,609.795,1.88
E  (az  90),43.0,609.781,0.81
E  (az  90),44.0,609.811,1.7
E  (az  90),45.0,609.833,1.23
E  (az  90),46.0,609.83,0.14
E  (az  90),47.0,609.821,0.49
E  (az  90),48.0,609.814,0.44
E  (az  90),49.0,609.802,0.68
E  (az  90),50.0,609.808,0.34
E  (az  90),51.0,609.826,1.05
E  (az  90),52.0,609.837,0.63
E  (az  90),53.0,609.842,0.28
E  (az  90),54.0,609.828,0.8
E  (az  90),55.0,609.844,0.92
E  (az  90),56.0,609.902,3.32
E  (az  90),57.0,609.95,2.74
E  (az  90),58.0,609.959,0.56
E  (az  90),59.0,609.942,1.02
E  (az  90),60.0,609.932,0.56
E  (az  90),61.0,609.935,0.19
E  (az  90),62.0,609.938,0.18
E  (az  90),63.0,609.924,0.85
E  (az  90),64.0,609.908,0.9
E  (az  90),65.0,609.91,0.13
E  (az  90),66.0,609.916,0.34
E  (az  90),67.0,609.918,0.12
E  (az  90),68.0,609.933,0.85
E  (az  90),69.0,609.991,3.31
E  (az  90),70.0,610.026,2.02
E  (az  90),71.0,610.015,0.64
E  (az  90),72.0,610.168,8.69
E  (az  90),73.0,610.46,16.27
E  (az  90),74.0,610.598,7.86
E  (az  90),75.0,610.6,0.12
E  (az  90),76.0,610.82,12.4
E  (az  90),77.0,611.093,15.26
E  (az  90),78.0,611.162,3.94
E  (az  90),79.0,611.377,12.13
E  (az  90),80.0,611.769,21.44
E  (az  90),81.0,611.971,11.42
E  (az  90),82.0,612.081,6.25
E  (az  90),83.0,612.324,13.69
E  (az  90),84.0,612.61,15.95
E  (az  90),85.0,612.806,11.09
E  (az  90),86.0,612.978,9.76
E  (az  90),87.0,613.293,17.46
E  (az  90),88.0,613.679,21.12
E  (az  90),89.0,613.876,11.13
E  (az  90),90.0,613.984,6.2
E  (az  90),91.0,614.286,16.8
E  (az  90),92.0,614.716,23.24
E  (az  90),93.0,614.965,13.98
E  (az  90),94.0,614.966,0.07
E  (az  90),95.0,615.358,21.42
E  (az  90),96.0,615.979,31.82
E  (az  90),97.0,616.218,13.47
E  (az  90),98.0,616.236,1.04
E  (az  90),99.0,616.735,26.48
E  (az  90),100.0,617.356,31.86
E  (az  90),101.0,617.508,8.65
E  (az  90),102.0,617.671,9.28
E  (az  90),103.0,618.108,23.6
E  (az  90),104.0,618.545,23.61
E  (az  90),105.0,618.762,12.22
E  (az  90),106.0,619.135,20.44
E  (az  90),107.0,619.608,25.32
E  (az  90),108.0,619.943,18.52
E  (az  90),109.0,620.216,15.27
E  (az  90),110.0,620.51,16.39
E  (az  90),111.0,620.97,24.71
E  (az  90),112.0,621.386,22.57
E  (az  90),113.0,621.671,15.94
E  (az  90),114.0,621.949,15.51
E  (az  90),115.0,622.363,22.51
E  (az  90),116.0,622.797,23.44
E  (az  90),117.0,623.095,16.62
E  (az  90),118.0,623.459,19.96
E  (az  90),119.0,623.833,20.51
E  (az  90),120.0,624.162,18.23
E  (az  90),121.0,624.508,19.07
E  (az  90),122.0,624.921,22.46
E  (az  90),123.0,625.298,20.67
E  (az  90),124.0,625.673,20.55
E  (az  90),125.0,625.974,16.73
E  (az  90),126.0,626.317,18.95
E  (az  90),127.0,626.803,25.89
E  (az  90),128.0,627.127,17.95
E  (az  90),129.0,627.273,8.35
E  (az  90),130.0,627.611,18.63
E  (az  90),131.0,628.198,30.42
E  (az  90),132.0,628.514,17.54
E  (az  90),133.0,628.718,11.51
E  (az  90),134.0,629.251,28.1
E  (az  90),135.0,629.604,19.4
E  (az  90),136.0,629.628,1.39
E  (az  90),137.0,630.099,25.23
E  (az  90),138.0,630.707,31.31
E  (az  90),139.0,630.929,12.53
E  (az  90),140.0,631.253,17.93
E  (az  90),141.0,631.786,28.08
E  (az  90),142.0,632.153,20.11
E  (az  90),143.0,632.334,10.3
E  (az  90),144.0,632.8,24.99
E  (az  90),145.0,633.251,24.25
E  (az  90),146.0,633.47,12.35
E  (az  90),147.0,633.889,22.75
E  (az  90),148.0,634.255,20.1
E  (az  90),149.0,634.448,10.92
E  (az  90),150.0,634.846,21.7
E  (az  90),151.0,635.302,24.52
E  (az  90),152.0,635.527,12.64
E  (az  90),153.0,635.821,16.41
E  (az  90),154.0,636.318,26.43
E  (az  90),155.0,636.614,16.49
E  (az  90),156.0,636.669,3.12
E  (az  90),157.0,637.087,22.69
E  (az  90),158.0,637.591,26.75
E  (az  90),159.0,637.728,7.79
E  (az  90),160.0,637.763,2.03
E  (az  90),161.0,637.923,9.09
E  (az  90),162.0,638.148,12.66
E  (az  90),163.0,638.235,4.99
E  (az  90),164.0,638.273,2.17
E  (az  90),165.0,638.422,8.47
E  (az  90),166.0,638.591,9.6
E  (az  90),167.0,638.651,3.43
E  (az  90),168.0,638.699,2.71
E  (az  90),169.0,638.77,4.09
E  (az  90),170.0,638.82,2.88
E  (az  90),171.0,638.803,1.02
E  (az  90),172.0,638.758,2.57
E  (az  90),173.0,638.746,0.67
E  (az  90),174.0,638.751,0.27
E  (az  90),175.0,638.724,1.51
E  (az  90),176.0,638.727,0.18
E  (az  90),177.0,638.736,0.47
E  (az  90),178.0,638.691,2.53
E  (az  90),179.0,638.651,2.34
E  (az  90),180.0,638.575,4.34
E  (az  90),181.0,638.444,7.44
E  (az  90),182.0,638.374,4.0
E  (az  90),183.0,638.446,4.08
E  (az  90),184.0,638.544,5.64
E  (az  90),185.0,638.633,5.07
E  (az  90),186.0,638.738,5.98
E  (az  90),187.0,638.814,4.38
E  (az  90),188.0,638.864,2.81
E  (az  90),189.0,638.889,1.46
E  (az  90),190.0,638.938,2.82
E  (az  90),191.0,639.028,5.11
E  (az  90),192.0,639.092,3.66
E  (az  90),193.0,639.127,2.0
E  (az  90),194.0,639.219,5.3
E  (az  90),195.0,639.301,4.64
E  (az  90),196.0,639.332,1.82
E  (az  90),197.0,639.401,3.92
E  (az  90),198.0,639.493,5.28
E  (az  90),199.0,639.547,3.09
E  (az  90),200.0,639.584,2.11
E+-20ft offset,0.0,609.851,0.79
E+-20ft offset,1.0,609.865,0.79
E+-20ft offset,2.0,609.86,0.28
E+-20ft offset,3.0,609.858,0.12
E+-20ft offset,4.0,609.855,0.18
E+-20ft offset,5.0,609.843,0.67
E+-20ft offset,6.0,609.838,0.3
E+-20ft offset,7.0,609.85,0.7
E+-20ft offset,8.0,609.852,0.12
E+-20ft offset,9.0,609.831,1.2
E+-20ft offset,10.0,609.815,0.94
E+-20ft offset,11.0,609.838,1.31
E+-20ft offset,12.0,609.869,1.79
E+-20ft offset,13.0,609.881,0.68
E+-20ft offset,14.0,609.886,0.27
E+-20ft offset,15.0,609.873,0.71
E+-20ft offset,16.0,609.881,0.42
E+-20ft offset,17.0,609.895,0.83
E+-20ft offset,18.0,609.886,0.53
E+-20ft offset,19.0,609.884,0.09
E+-20ft offset,20.0,609.901,0.97
E+-20ft offset,21.0,609.91,0.51
E+-20ft offset,22.0,609.914,0.25
E+-20ft offset,23.0,609.946,1.8
E+-20ft offset,24.0,609.955,0.55
E+-20ft offset,25.0,609.925,1.74
E+-20ft offset,26.0,609.913,0.71
E+-20ft offset,27.0,609.925,0.74
E+-20ft offset,28.0,609.927,0.11
E+-20ft offset,29.0,609.901,1.53
E+-20ft offset,30.0,609.889,0.68
E+-20ft offset,31.0,609.897,0.47
E+-20ft offset,32.0,609.875,1.29
E+-20ft offset,33.0,609.861,0.8
E+-20ft offset,34.0,609.871,0.58
E+-20ft offset,35.0,609.858,0.71
E+-20ft offset,36.0,609.842,0.9
E+-20ft offset,37.0,609.837,0.31
E+-20ft offset,38.0,609.828,0.52
E+-20ft offset,39.0,609.803,1.45
E+-20ft offset,40.0,609.782,1.18
E+-20ft offset,41.0,609.777,0.28
E+-20ft offset,42.0,609.759,1.05
E+-20ft offset,43.0,609.739,1.12
E+-20ft offset,44.0,609.738,0.09
E+-20ft offset,45.0,609.734,0.24
E+-20ft offset,46.0,609.674,3.43
E+-20ft offset,47.0,609.627,2.68
E+-20ft offset,48.0,609.64,0.73
E+-20ft offset,49.0,609.653,0.75
E+-20ft offset,50.0,609.665,0.7
E+-20ft offset,51.0,609.651,0.83
E+-20ft offset,52.0,609.623,1.58
E+-20ft offset,53.0,609.625,0.13
E+-20ft offset,54.0,609.643,1.03
E+-20ft offset,55.0,609.632,0.66
E+-20ft offset,56.0,609.614,1.03
E+-20ft offset,57.0,609.648,1.99
E+-20ft offset,58.0,609.677,1.62
E+-20ft offset,59.0,609.67,0.38
E+-20ft offset,60.0,609.665,0.3
E+-20ft offset,61.0,609.677,0.69
E+-20ft offset,62.0,609.72,2.47
E+-20ft offset,63.0,609.746,1.5
E+-20ft offset,64.0,609.756,0.59
E+-20ft offset,65.0,609.824,3.85
E+-20ft offset,66.0,609.904,4.57
E+-20ft offset,67.0,609.927,1.35
E+-20ft offset,68.0,609.956,1.65
E+-20ft offset,69.0,610.023,3.82
E+-20ft offset,70.0,610.089,3.77
E+-20ft offset,71.0,610.274,10.53
E+-20ft offset,72.0,610.489,12.12
E+-20ft offset,73.0,610.613,7.05
E+-20ft offset,74.0,610.728,6.54
E+-20ft offset,75.0,611.043,17.53
E+-20ft offset,76.0,611.319,15.4
E+-20ft offset,77.0,611.365,2.64
E+-20ft offset,78.0,611.535,9.67
E+-20ft offset,79.0,611.812,15.47
E+-20ft offset,80.0,612.034,12.53
E+-20ft offset,81.0,612.177,8.1
E+-20ft offset,82.0,612.461,15.89
E+-20ft offset,83.0,612.826,20.07
E+-20ft offset,84.0,613.056,12.93
E+-20ft offset,85.0,613.278,12.49
E+-20ft offset,86.0,613.597,17.69
E+-20ft offset,87.0,613.994,21.67
E+-20ft offset,88.0,614.315,17.79
E+-20ft offset,89.0,614.536,12.47
E+-20ft offset,90.0,614.835,16.61
E+-20ft offset,91.0,615.252,22.65
E+-20ft offset,92.0,615.533,15.7
E+-20ft offset,93.0,615.742,11.81
E+-20ft offset,94.0,616.181,23.7
E+-20ft offset,95.0,616.527,19.09
E+-20ft offset,96.0,616.682,8.82
E+-20ft offset,97.0,617.024,18.85
E+-20ft offset,98.0,617.528,26.74
E+-20ft offset,99.0,617.879,19.34
E+-20ft offset,100.0,618.094,12.14
E+-20ft offset,101.0,618.396,16.82
E+-20ft offset,102.0,618.783,21.17
E+-20ft offset,103.0,619.181,21.66
E+-20ft offset,104.0,619.514,18.42
