band_key,az,blocked_pct
east r12,294.0,0.0
east r12,296.0,0.0
east r12,298.0,0.0
east r12,300.0,0.0
east r12,302.0,0.0
east r12,304.0,0.0
east r12,306.0,0.0
east r12,308.0,0.0
east r12,310.0,0.0
east r12,312.0,0.0
east r12,314.0,0.0
east r12,316.0,0.0
east r12,318.0,0.0
east r12,320.0,0.0
east r12,322.0,0.0
east r12,324.0,0.0
east r12,326.0,0.0
east r12,328.0,0.0
east r12,330.0,0.0
east r12,332.0,0.0
east r12,334.0,0.0
east r12,336.0,0.0
east r12,338.0,0.0
east r12,340.0,0.0
east r12,342.0,0.0
east r12,344.0,0.0
east r12,346.0,0.0
east r12,348.0,0.0
east r12,350.0,0.0
east r12,352.0,0.0
east r12,354.0,66.7
east r12,356.0,100.0
east r12,358.0,100.0
east r12,360.0,100.0
east r13,280.0,0.0
east r13,282.0,0.0
east r13,284.0,0.0
east r13,286.0,0.0
east r13,288.0,0.0
east r13,290.0,0.0
east r13,292.0,0.0
east r13,294.0,0.0
east r13,296.0,0.0
east r13,298.0,0.0
east r13,300.0,0.0
east r13,302.0,0.0
east r13,304.0,0.0
east r13,306.0,0.0
east r13,308.0,0.0
east r13,310.0,0.0
east r13,312.0,0.0
east r13,314.0,0.0
east r13,316.0,0.0
east r13,318.0,0.0
east r13,320.0,0.0
east r13,322.0,0.0
east r13,324.0,0.0
east r13,326.0,0.0
east r13,328.0,0.0
east r13,330.0,0.0
east r13,332.0,0.0
east r13,334.0,0.0
east r13,336.0,0.0
east r13,338.0,0.0
east r13,340.0,0.0
east r13,342.0,0.0
east r13,344.0,0.0
east r13,346.0,0.0
east r13,348.0,0.0
east r13,350.0,0.0
east r13,352.0,0.0
east r13,354.0,0.0
east r13,356.0,0.0
east r13,358.0,0.0
east r13,360.0,0.0
east r14,280.0,0.0
east r14,282.0,0.0
east r14,284.0,0.0
east r14,286.0,0.0
east r14,288.0,0.0
east r14,290.0,0.0
east r14,292.0,0.0
east r14,294.0,0.0
east r14,296.0,0.0
east r14,298.0,0.0
east r14,300.0,0.0
east r14,302.0,0.0
east r14,304.0,0.0
east r14,306.0,0.0
east r14,308.0,0.0
east r14,310.0,0.0
east r14,312.0,0.0
east r14,314.0,0.0
east r14,316.0,0.0
east r14,318.0,0.0
east r14,320.0,0.0
east r14,322.0,0.0
east r14,324.0,0.0
east r14,326.0,0.0
east r14,328.0,0.0
east r14,330.0,0.0
east r14,332.0,0.0
east r14,334.0,0.0
east r14,336.0,0.0
east r14,338.0,0.0
east r14,340.0,0.0
east r14,342.0,0.0
east r14,344.0,0.0
east r14,346.0,0.0
east r14,348.0,0.0
east r14,350.0,0.0
east r14,352.0,0.0
east r14,354.0,0.0
east r14,356.0,0.0
east r14,358.0,0.0
east r14,360.0,0.0
east r15,280.0,0.0
east r15,282.0,0.0
east r15,284.0,0.0
east r15,286.0,0.0
east r15,288.0,0.0
east r15,290.0,0.0
east r15,292.0,0.0
east r15,294.0,0.0
east r15,296.0,0.0
east r15,298.0,0.0
east r15,300.0,0.0
east r15,302.0,0.0
east r15,304.0,0.0
east r15,306.0,0.0
east r15,308.0,0.0
east r15,310.0,0.0
east r15,312.0,0.0
east r15,314.0,0.0
east r15,316.0,0.0
east r15,318.0,0.0
east r15,320.0,0.0
east r15,322.0,0.0
east r15,324.0,0.0
east r15,326.0,0.0
east r15,328.0,0.0
east r15,330.0,0.0
east r15,332.0,0.0
east r15,334.0,0.0
east r15,336.0,0.0
east r15,338.0,0.0
east r15,340.0,0.0
east r15,342.0,0.0
east r15,344.0,0.0
east r15,346.0,0.0
east r15,348.0,0.0
east r15,350.0,0.0
east r15,352.0,0.0
east r15,354.0,0.0
east r15,356.0,0.0
east r15,358.0,0.0
east r15,360.0,0.0
east r16,280.0,0.0
east r16,282.0,0.0
east r16,284.0,0.0
east r16,286.0,0.0
east r16,288.0,0.0
east r16,290.0,0.0
east r16,292.0,0.0
east r16,294.0,0.0
east r16,296.0,0.0
east r16,298.0,0.0
east r16,300.0,0.0
east r16,302.0,0.0
east r16,304.0,0.0
east r16,306.0,0.0
east r16,308.0,0.0
east r16,310.0,0.0
east r16,312.0,0.0
east r16,314.0,0.0
east r16,316.0,0.0
east r16,318.0,0.0
east r16,320.0,0.0
east r16,322.0,0.0
east r16,324.0,0.0
east r16,326.0,0.0
east r16,328.0,0.0
east r16,330.0,0.0
east r16,332.0,0.0
east r16,334.0,0.0
east r16,336.0,0.0
east r16,338.0,0.0
east r16,340.0,0.0
east r16,342.0,0.0
east r16,344.0,0.0
east r16,346.0,0.0
east r16,348.0,0.0
east r16,350.0,0.0
east r16,352.0,0.0
east r16,354.0,0.0
east r16,356.0,0.0
east r16,358.0,0.0
east r16,360.0,0.0
east r17,280.0,0.0
east r17,282.0,0.0
east r17,284.0,0.0
east r17,286.0,0.0
east r17,288.0,0.0
east r17,290.0,0.0
east r17,292.0,0.0
east r17,294.0,0.0
east r17,296.0,0.0
east r17,298.0,0.0
east r17,300.0,0.0
east r17,302.0,0.0
east r17,304.0,0.0
east r17,306.0,0.0
east r17,308.0,0.0
east r17,310.0,0.0
east r17,312.0,0.0
east r17,314.0,0.0
east r17,316.0,0.0
east r17,318.0,0.0
east r17,320.0,0.0
east r17,322.0,0.0
east r17,324.0,0.0
east r17,326.0,0.0
east r17,328.0,0.0
east r17,330.0,0.0
east r17,332.0,0.0
east r17,334.0,0.0
east r17,336.0,0.0
east r17,338.0,0.0
east r17,340.0,0.0
east r17,342.0,0.0
east r17,344.0,0.0
east r17,346.0,0.0
east r17,348.0,0.0
east r17,350.0,0.0
east r17,352.0,0.0
east r17,354.0,0.0
east r17,356.0,0.0
east r17,358.0,0.0
east r17,360.0,0.0
east r18,280.0,0.0
east r18,282.0,0.0
east r18,284.0,0.0
east r18,286.0,0.0
east r18,288.0,0.0
east r18,290.0,0.0
east r18,292.0,0.0
east r18,294.0,0.0
east r18,296.0,0.0
east r18,298.0,0.0
east r18,300.0,0.0
east r18,302.0,0.0
east r18,304.0,0.0
east r18,306.0,0.0
east r18,308.0,0.0
east r18,310.0,0.0
east r18,312.0,0.0
east r18,314.0,0.0
east r18,316.0,0.0
east r18,318.0,0.0
east r18,320.0,0.0
east r18,322.0,0.0
east r18,324.0,0.0
east r18,326.0,0.0
east r18,328.0,0.0
east r18,330.0,0.0
east r18,332.0,0.0
east r18,334.0,0.0
east r18,336.0,0.0
east r18,338.0,0.0
east r18,340.0,0.0
east r18,342.0,0.0
east r18,344.0,0.0
east r18,346.0,0.0
east r18,348.0,0.0
east r18,350.0,0.0
east r18,352.0,0.0
east r18,354.0,0.0
east r18,356.0,0.0
east r18,358.0,0.0
east r18,360.0,0.0
bend r1,280.0,100.0
bend r1,282.0,100.0
bend r1,284.0,100.0
bend r1,286.0,100.0
bend r1,288.0,100.0
bend r1,290.0,100.0
bend r1,292.0,100.0
bend r1,294.0,100.0
bend r1,296.0,100.0
bend r1,298.0,100.0
bend r1,300.0,100.0
bend r1,302.0,100.0
bend r1,304.0,100.0
bend r1,306.0,100.0
bend r1,308.0,100.0
bend r1,310.0,100.0
bend r1,312.0,100.0
bend r1,314.0,100.0
bend r1,316.0,100.0
bend r1,318.0,100.0
bend r1,320.0,100.0
bend r1,322.0,100.0
bend r1,324.0,100.0
bend r1,326.0,100.0
bend r1,328.0,100.0
bend r1,330.0,100.0
bend r1,332.0,100.0
bend r1,334.0,100.0
bend r1,336.0,100.0
bend r1,338.0,100.0
bend r1,340.0,100.0
bend r1,342.0,100.0
bend r1,344.0,100.0
bend r1,346.0,100.0
bend r1,348.0,100.0
bend r1,350.0,100.0
bend r1,352.0,100.0
bend r1,354.0,100.0
bend r1,356.0,100.0
bend r1,358.0,100.0
bend r1,360.0,100.0
bend r2,280.0,100.0
bend r2,282.0,100.0
bend r2,284.0,100.0
bend r2,286.0,100.0
bend r2,288.0,100.0
bend r2,290.0,100.0
bend r2,292.0,100.0
bend r2,294.0,100.0
bend r2,296.0,100.0
bend r2,298.0,100.0
bend r2,300.0,100.0
bend r2,302.0,100.0
bend r2,304.0,100.0
bend r2,306.0,100.0
bend r2,308.0,100.0
bend r2,310.0,100.0
bend r2,312.0,100.0
bend r2,314.0,100.0
bend r2,316.0,100.0
bend r2,318.0,100.0
bend r2,320.0,100.0
bend r2,322.0,100.0
bend r2,324.0,100.0
bend r2,326.0,100.0
bend r2,328.0,100.0
bend r2,330.0,100.0
bend r2,332.0,100.0
bend r2,334.0,100.0
bend r2,336.0,100.0
bend r2,338.0,100.0
bend r2,340.0,100.0
bend r2,342.0,100.0
bend r2,344.0,100.0
bend r2,346.0,100.0
bend r2,348.0,100.0
bend r2,350.0,100.0
bend r2,352.0,100.0
bend r2,354.0,100.0
bend r2,356.0,100.0
bend r2,358.0,100.0
bend r2,360.0,100.0
bend r3,280.0,100.0
bend r3,282.0,100.0
bend r3,284.0,100.0
bend r3,286.0,100.0
bend r3,288.0,100.0
bend r3,290.0,100.0
bend r3,292.0,100.0
bend r3,294.0,100.0
bend r3,296.0,100.0
bend r3,298.0,100.0
bend r3,300.0,100.0
bend r3,302.0,100.0
bend r3,304.0,100.0
bend r3,306.0,100.0
bend r3,308.0,100.0
bend r3,310.0,100.0
bend r3,312.0,100.0
bend r3,314.0,100.0
bend r3,316.0,100.0
bend r3,318.0,100.0
bend r3,320.0,100.0
bend r3,322.0,100.0
bend r3,324.0,100.0
bend r3,326.0,100.0
bend r3,328.0,100.0
bend r3,330.0,100.0
bend r3,332.0,100.0
bend r3,334.0,100.0
bend r3,336.0,100.0
bend r3,338.0,100.0
bend r3,340.0,100.0
bend r3,342.0,100.0
bend r3,344.0,100.0
bend r3,346.0,100.0
bend r3,348.0,100.0
bend r3,350.0,100.0
bend r3,352.0,100.0
bend r3,354.0,100.0
bend r3,356.0,100.0
bend r3,358.0,100.0
bend r3,360.0,100.0
bend r4,280.0,100.0
bend r4,282.0,100.0
bend r4,284.0,100.0
bend r4,286.0,100.0
bend r4,288.0,100.0
bend r4,290.0,100.0
bend r4,292.0,100.0
bend r4,294.0,100.0
bend r4,296.0,100.0
bend r4,298.0,100.0
bend r4,300.0,100.0
bend r4,302.0,100.0
bend r4,304.0,100.0
bend r4,306.0,100.0
bend r4,308.0,100.0
bend r4,310.0,100.0
bend r4,312.0,100.0
bend r4,314.0,100.0
bend r4,316.0,100.0
bend r4,318.0,100.0
bend r4,320.0,100.0
bend r4,322.0,100.0
bend r4,324.0,100.0
bend r4,326.0,100.0
bend r4,328.0,100.0
bend r4,330.0,100.0
bend r4,332.0,100.0
bend r4,334.0,100.0
bend r4,336.0,100.0
bend r4,338.0,100.0
bend r4,340.0,100.0
bend r4,342.0,100.0
bend r4,344.0,100.0
bend r4,346.0,100.0
bend r4,348.0,100.0
bend r4,350.0,100.0
bend r4,352.0,100.0
bend r4,354.0,100.0
bend r4,356.0,100.0
bend r4,358.0,100.0
bend r4,360.0,100.0
bend r6,280.0,100.0
bend r6,282.0,100.0
bend r6,284.0,100.0
bend r6,286.0,100.0
bend r6,288.0,100.0
bend r6,290.0,100.0
bend r6,292.0,100.0
bend r6,294.0,100.0
bend r6,296.0,66.7
bend r6,298.0,33.3
bend r6,300.0,0.0
bend r6,302.0,0.0
bend r6,304.0,0.0
bend r6,306.0,0.0
bend r6,308.0,0.0
bend r6,310.0,0.0
bend r6,312.0,0.0
bend r6,314.0,0.0
bend r6,316.0,0.0
bend r6,318.0,0.0
bend r6,320.0,0.0
bend r6,322.0,33.3
bend r6,324.0,33.3
bend r6,326.0,66.7
bend r6,328.0,100.0
bend r6,330.0,100.0
bend r6,332.0,100.0
bend r6,334.0,100.0
bend r6,336.0,100.0
bend r6,338.0,100.0
bend r6,340.0,100.0
bend r6,342.0,100.0
bend r6,344.0,100.0
bend r6,346.0,100.0
bend r6,348.0,100.0
bend r6,350.0,100.0
bend r6,352.0,100.0
bend r6,354.0,100.0
bend r6,356.0,100.0
bend r6,358.0,100.0
bend r6,360.0,100.0
bend r7,280.0,100.0
bend r7,282.0,100.0
bend r7,284.0,100.0
bend r7,286.0,100.0
bend r7,288.0,100.0
bend r7,290.0,66.7
bend r7,292.0,100.0
bend r7,294.0,33.3
bend r7,296.0,33.3
bend r7,298.0,0.0
bend r7,300.0,0.0
bend r7,302.0,0.0
bend r7,304.0,0.0
bend r7,306.0,0.0
bend r7,308.0,0.0
bend r7,310.0,0.0
bend r7,312.0,0.0
bend r7,314.0,0.0
bend r7,316.0,0.0
bend r7,318.0,0.0
bend r7,320.0,0.0
bend r7,322.0,0.0
