band_key,section,row,az,eye_elev_navd88,canopy_sil_leafoff_deg,canopy_sil_leafon_deg,leaf_state_measured,leaf_on_is
east r1,east,1,318.0,614.8,0.357,2.027,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r15,east,15,322.0,633.32,1.156,1.156,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r15,east,15,324.0,633.32,1.875,2.069,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r15,east,15,326.0,633.32,1.893,2.311,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r15,east,15,328.0,633.32,1.946,2.348,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r15,east,15,330.0,633.32,1.789,2.145,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r15,east,15,332.0,633.32,1.892,2.224,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r15,east,15,334.0,633.32,2.904,3.181,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r15,east,15,336.0,633.32,2.95,2.95,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r15,east,15,338.0,633.32,4.068,4.419,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r15,east,15,340.0,633.32,4.491,5.358,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r15,east,15,342.0,633.32,4.978,4.978,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r16,east,16,318.0,634.69,0.117,0.117,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r16,east,16,320.0,634.69,1.141,1.141,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r16,east,16,322.0,634.69,1.392,1.392,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r16,east,16,324.0,634.69,1.077,1.077,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r16,east,16,326.0,634.69,1.539,1.759,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r16,east,16,328.0,634.69,1.642,1.897,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r16,east,16,330.0,634.69,1.252,1.613,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r16,east,16,332.0,634.69,1.434,2.094,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r16,east,16,334.0,634.69,2.393,2.793,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r16,east,16,336.0,634.69,3.097,3.097,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r16,east,16,338.0,634.69,3.755,3.755,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r16,east,16,340.0,634.69,4.567,4.567,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r16,east,16,342.0,634.69,4.703,4.703,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r17,east,17,318.0,636.21,-0.233,-0.233,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r17,east,17,320.0,636.21,0.35,0.569,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r17,east,17,322.0,636.21,1.102,1.102,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r17,east,17,324.0,636.21,1.121,1.236,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r17,east,17,326.0,636.21,1.175,1.2,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r17,east,17,328.0,636.21,1.18,1.473,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
