band_key,az,blocked_terrain,blocked_terrain_stage,blocked_terrain_stage_city
south r14,338.0,0.0,0.0,0.0
south r14,340.0,0.0,0.0,0.0
south r14,342.0,0.0,0.0,0.0
south r15,318.0,0.0,0.0,0.0
south r15,320.0,0.0,0.0,0.0
south r15,322.0,0.0,0.0,0.0
south r15,324.0,0.0,0.0,0.0
south r15,326.0,0.0,0.0,0.0
south r15,328.0,0.0,0.0,0.0
south r15,330.0,0.0,0.0,0.0
south r15,332.0,0.0,0.0,0.0
south r15,334.0,0.0,0.0,0.0
south r15,336.0,0.0,0.0,0.0
south r15,338.0,0.0,0.0,0.0
south r15,340.0,0.0,0.0,0.0
south r15,342.0,0.0,0.0,0.0
south r16,318.0,0.0,0.0,0.0
south r16,320.0,0.0,0.0,0.0
south r16,322.0,0.0,0.0,0.0
south r16,324.0,0.0,0.0,0.0
south r16,326.0,0.0,0.0,0.0
south r16,328.0,0.0,0.0,0.0
south r16,330.0,0.0,0.0,0.0
south r16,332.0,0.0,0.0,0.0
south r16,334.0,0.0,0.0,0.0
south r16,336.0,0.0,0.0,0.0
south r16,338.0,0.0,0.0,0.0
south r16,340.0,0.0,0.0,0.0
south r16,342.0,0.0,0.0,0.0
south r17,318.0,0.0,0.0,0.0
south r17,320.0,0.0,0.0,0.0
south r17,322.0,0.0,0.0,0.0
south r17,324.0,0.0,0.0,0.0
south r17,326.0,0.0,0.0,0.0
south r17,328.0,0.0,0.0,0.0
south r17,330.0,0.0,0.0,0.0
south r17,332.0,0.0,0.0,0.0
south r17,334.0,0.0,0.0,0.0
south r17,336.0,0.0,0.0,0.0
south r17,338.0,0.0,0.0,0.0
south r17,340.0,0.0,0.0,0.0
south r17,342.0,0.0,0.0,0.0
south r18,318.0,0.0,0.0,0.0
south r18,320.0,0.0,0.0,0.0
south r18,322.0,0.0,0.0,0.0
south r18,324.0,0.0,0.0,0.0
south r18,326.0,0.0,0.0,0.0
south r18,328.0,0.0,0.0,0.0
south r18,330.0,0.0,0.0,0.0
south r18,332.0,0.0,0.0,0.0
south r18,334.0,0.0,0.0,0.0
south r18,336.0,0.0,0.0,0.0
south r18,338.0,0.0,0.0,0.0
south r18,340.0,0.0,0.0,0.0
south r18,342.0,0.0,0.0,0.0
