osm_id,name,type,area_m2,dist_m,az_deg,axis_off_deg,axis_along_m,axis_perp_m,ue_x_N_cm,ue_y_E_cm,live_roof_Z_m,dem_grade_Z_m,height_AGL_m,verdict
557735203,Mighty Fine Pizza,yes,53.6,72.4,157.1,-172.9,-71.8,8.9,-8384,3808,,,,
616472434,,yes,53.5,586.9,185.0,-145.0,-480.9,336.5,-60188,-4110,,,,
651342788,,yes,53.5,702.0,108.9,138.9,-529.0,461.5,-24449,67410,,,,
609308536,,yes,53.4,356.5,208.2,-121.8,-187.7,303.1,-33121,-15871,,,,
609308539,,yes,53.4,345.3,199.6,-130.4,-223.9,262.8,-34250,-10570,,,,
609308544,,yes,52.8,232.9,188.8,-141.2,-181.6,146.0,-24737,-2571,,,,
582112901,,yes,52.6,505.3,237.2,-92.8,-24.9,504.7,-29106,-41476,,,,
593952802,,yes,52.2,257.8,215.1,-114.9,-108.4,233.9,-22804,-13847,,,,
583389779,,yes,52.0,699.7,238.0,-92.0,-24.6,699.3,-38808,-58339,,,,
646829302,,yes,52.0,566.0,142.5,172.5,-561.1,74.2,-46599,35468,,,,
643459086,,yes,51.8,653.6,215.0,-115.0,-276.5,592.3,-55276,-36474,,,,
647439423,,yes,51.7,599.7,77.2,107.2,-177.5,572.8,11550,59473,,,,
609308502,,yes,51.6,295.6,214.5,-115.5,-127.5,266.7,-26091,-15733,,,,
609308545,,yes,50.8,253.3,188.2,-141.8,-198.9,156.8,-26782,-2640,,,,
651233556,,yes,50.8,679.8,100.2,130.2,-438.7,519.2,-13751,67894,,,,
641205149,,yes,50.7,700.7,188.8,-141.2,-545.8,439.5,-70956,-9785,,,,
645291972,,yes,50.7,740.0,163.6,-166.4,-719.4,173.5,-72688,21933,,,,
651240078,,yes,50.3,514.5,128.4,158.4,-478.3,189.7,-33653,41330,,,,
641212201,,yes,49.6,536.2,117.2,147.2,-450.6,290.6,-26209,48685,,,,
580294782,,yes,48.8,650.2,255.4,-74.6,173.2,626.7,-18049,-61940,,,,
